Rank,Country (or dependent territory),Population,Date,% of world population,,,,
1,1 - China,10877217.94,12/31/2018,30.3459972322076,,100,35843995.69,10
2,2 - United States,5107393.21,12/31/2018,14.2489505192773,,100,35843995.69,10
3,3 - Australia,402253.35,12/31/2018,11.2223356312986,,100,35843995.69,10
4,4 - India,2454773.8,12/31/2018,6.84849373722263,,100,35843995.69,10
5,5 - Argentina,209967.56,12/31/2018,5.85781679631711,,100,35843995.69,10
6,6 - Russian Federation,1764865.68,12/31/2018,4.92374146918105,,100,35843995.69,10
7,7 - Algeria,159929.28,12/31/2018,4.46181506613165,,100,35843995.69,10
8,8 - Japan,1320776.12,12/31/2018,3.68479042186828,,100,35843995.69,10
9,9 - Germany,796528.91,12/31/2018,2.22221014891546,,100,35843995.69,10
10,10 - South Korea,673323.53,12/31/2018,1.87848345877312,,100,35843995.69,10
11,11 - Iran,671450.13,12/31/2018,1.87325692092783,,100,35843995.69,10
12,12 - Saudi Arabia,638761.8,12/31/2018,1.78206081019646,,100,35843995.69,10
13,13 - Canada,617300.53,12/31/2018,1.72218670970385,,100,35843995.69,10
14,14 - Indonesia,511326.92,12/31/2018,1.42653437530307,,100,35843995.69,10
15,15 - Mexico,507182.57,12/31/2018,1.41497218777285,,100,35843995.69,10
16,16 - Brazil,492790.6,12/31/2018,1.37482049786509,,100,35843995.69,10
17,17 - South Africa,467654.44,12/31/2018,1.30469394105655,,100,35843995.69,10
18,18 - Turkey,429562.9,12/31/2018,1.19842359014635,,100,35843995.69,10
19,19 - United Kingdom,379150.27,12/31/2018,1.05777903021503,,100,35843995.69,10
20,20 - Italy,361175.61,12/31/2018,1.00763210977833,,100,35843995.69,10
21,21 - France,338193.16,12/31/2018,0.943514118584584,,100,35843995.69,10
22,22 - Poland,319028.21,12/31/2018,0.890046446716331,,100,35843995.69,10
23,23 - Andorra,30876.27,12/31/2018,0.861407033608534,,100,35843995.69,10
24,24 - Spain,282364.42,12/31/2018,0.787759329183202,,100,35843995.69,10
25,25 - Taiwan,279740.28,12/31/2018,0.780438326182602,,100,35843995.69,10
26,26 - Thailand,279296.23,12/31/2018,0.779199485502449,,100,35843995.69,10
27,27 - Kazakhstan,266206.75,12/31/2018,0.742681570163976,,100,35843995.69,10
28,28 - Malaysia,258782.97,12/31/2018,0.721970207334326,,100,35843995.69,10
29,29 - Egypt,258668.47,12/31/2018,0.72165076750125,,100,35843995.69,10
30,30 - Viet Nam,218728.54,12/31/2018,0.610223653332885,,100,35843995.69,10
31,31 - Ukraine,205722.98,12/31/2018,0.573939863678183,,100,35843995.69,10
32,32 - United Arab Emirates,202801.99,12/31/2018,0.565790688498992,,100,35843995.69,10
33,33 - Iraq,199295.61,12/31/2018,0.556008352761857,,100,35843995.69,10
34,34 - Pakistan,197296.76,12/31/2018,0.550431826033957,,100,35843995.69,10
35,35 - Netherlands,174770.31,12/31/2018,0.487586014437443,,100,35843995.69,10
36,36 - Venezuela,145877.01,12/31/2018,0.406977534707989,,100,35843995.69,10
37,37 - Philippines,137153.81,12/31/2018,0.382640962202392,,100,35843995.69,10
38,38 - Afghanistan,11422.14,12/31/2018,0.318662575980239,,100,35843995.69,10
39,39 - Czech Republic,109755.82,12/31/2018,0.306204199300862,,100,35843995.69,10
40,40 - Belgium,104220.81,12/31/2018,0.290762254580552,,100,35843995.69,10
41,41 - Qatar,97787.11,12/31/2018,0.272813083802711,,100,35843995.69,10
42,42 - Kuwait,97150.59,12/31/2018,0.271037277317561,,100,35843995.69,10
43,43 - Uzbekistan,95350.42,12/31/2018,0.266015041472069,,100,35843995.69,10
44,44 - Nigeria,94846.87,12/31/2018,0.264610203673417,,100,35843995.69,10
45,45 - Chile,90324.66,12/31/2018,0.251993836795375,,100,35843995.69,10
46,46 - Bangladesh,84546.47,12/31/2018,0.235873452087227,,100,35843995.69,10
47,47 - Romania,81131.3,12/31/2018,0.226345580168214,,100,35843995.69,10
48,48 - Oman,78420.61,12/31/2018,0.218783114132218,,100,35843995.69,10
49,49 - Colombia,74954.01,12/31/2018,0.209111759325736,,100,35843995.69,10
50,50 - Turkmenistan,72473.72,12/31/2018,0.202192078770446,,100,35843995.69,10
51,51 - Austria,72248.62,12/31/2018,0.201564079587691,,100,35843995.69,10
52,52 - Greece,72145.23,12/31/2018,0.201275635182959,,100,35843995.69,10
53,53 - Israel,66916.25,12/31/2018,0.186687473625237,,100,35843995.69,10
54,54 - Serbia,62486.59,12/31/2018,0.174329308987817,,100,35843995.69,10
55,55 - Belarus,62339.9,12/31/2018,0.1739200633187,,100,35843995.69,10
56,56 - Montenegro,61583.67,12/31/2018,0.171810281790601,,100,35843995.69,10
57,57 - Morocco,61583.67,12/31/2018,0.171810281790601,,100,35843995.69,10
58,58 - Libya,57584.32,12/31/2018,0.160652625053365,,100,35843995.69,10
59,59 - Portugal,56770.64,12/31/2018,0.158382565635221,,100,35843995.69,10
60,60 - Peru,55931.47,12/31/2018,0.156041392493539,,100,35843995.69,10
61,61 - Singapore,55018.23,12/31/2018,0.153493573863333,,100,35843995.69,10
62,62 - Sweden,50874.46,12/31/2018,0.14193300445629,,100,35843995.69,10
63,63 - Hungary,50856.12,12/31/2018,0.141881838285647,,100,35843995.69,10
64,64 - Albania,5025.54,12/31/2018,0.140205909058349,,100,35843995.69,10
65,65 - Bulgaria,49567.62,12/31/2018,0.138287093963212,,100,35843995.69,10
66,66 - Armenia,4831.59,12/31/2018,0.134794960968817,,100,35843995.69,10
67,67 - Norway,46942.57,12/31/2018,0.130963552183152,,100,35843995.69,10
68,68 - Finland,46845.59,12/31/2018,0.130692990829338,,100,35843995.69,10
69,69 - Switzerland,39738.46,12/31/2018,0.110865039555527,,100,35843995.69,10
70,70 - Ecuador,39506.71,12/31/2018,0.110218487753646,,100,35843995.69,10
71,71 - Ireland,38913.92,12/31/2018,0.108564682175923,,100,35843995.69,10
72,72 - Slovakia,37854.94,12/31/2018,0.10561026825076,,100,35843995.69,10
73,73 - North Korea,37774.33,12/31/2018,0.10538537702854,,100,35843995.69,10
74,74 - Trinidad and Tobago,37745.01,12/31/2018,0.105303578112332,,100,35843995.69,10
75,75 - New Zealand,36794.54,12/31/2018,0.102651892713694,,100,35843995.69,10
